Year,Total_Budget,Real_Budget,Capital_Ratio,Real_Budget_Growth,Agric_Growth,Agric_Contribution,GDP_growth,Food_Inflation,Total_Federal_Budget_BN,Agriculture_Share_Percent,Population_Annual,Real_Per_Capita_Agric_Budget
2015,40.65902072,37.30185387,21.62%,,3.72%,23.11%,2.65%,9.90%,"4,493.4",0.90%,"190,671,878",195.6337466
2016,75.80654827,65.51992072,60.91%,75.65%,4.11%,24.45%,-1.62%,14.95%,"6,060.7",1.25%,"195,443,700",335.2368008
2017,135.5453451,116.3479357,76.57%,77.58%,3.45%,25.08%,0.81%,19.55%,"7,441.2",1.82%,"200,254,579",581.0001262
2018,203.0100927,181.0973173,73.49%,55.65%,2.12%,25.13%,1.92%,14.35%,"9,120.3",2.23%,"204,938,755",883.6655485
2019,164.8957592,148.0213279,65.02%,-18.26%,2.36%,25.16%,2.21%,13.74%,"8,917.0",1.85%,"209,485,641",706.5941472
2020,183.09,161.6688742,67.94%,9.22%,2.17%,26.21%,-1.79%,16.17%,10810.80087,1.69%,"213,996,181",755.4755109
2021,280.3155136,239.6883399,75.30%,48.26%,2.13%,25.88%,3.65%,20.40%,"13,588.0",2.06%,"218,529,286",1096.824798
2022,360.8496532,303.6177141,79.06%,26.67%,1.88%,25.58%,3.25%,20.94%,"17,319.7",2.08%,"223,150,896",1360.593749
2023,426.9899072,342.52359,80.00%,12.81%,1.13%,25.18%,2.86%,27.96%,"24,821.8",1.72%,"227,882,945",1503.068121
2024,996.9010936,748.1995599,88.94%,118.44%,1.69%,27.81%,4.06%,39.12%,"28,777.4",3.46%,"232,679,478",3215.580361
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,Corr_Real_Buget_Growth_&_Agric Growth,,,
,,,,,,,,,0.300636043,,,
,,,,,,,,,Corr_Capital_Ratio_vs_Agric Growth,,,
,,,,,,,,,-0.653511288,,,
,,,,,,,,,Corr_Food_Inflation_Vs_Agric_Growth,,,
,,,,,,,,,-0.599380287,,,
,,,,,,,,,corr_real_Budget_growth_vs_food_inflation,,,
,,,,,,,,,0.520661499,,,
